2026-06-29 10:03:21,918 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/3 gigi tepi luar.png
2026-06-29 10:03:21,918 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/4 gigi tepi luar.png
2026-06-29 10:03:21,918 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/4 gigi tepi luar.png
2026-06-29 10:03:21,935 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Femur ada pola warna.png
2026-06-29 10:03:21,951 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Femur ada pola warna.png
2026-06-29 10:03:21,951 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Femur tidak ada pola warna.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Femur tidak ada pola warna.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna hitam.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna hitam.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna coklat.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna coklat.png
2026-06-29 10:03:21,966 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna hitam dengan pola kuing.png
2026-06-29 10:03:21,982 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna hitam dengan pola kuing.png
2026-06-29 10:03:21,982 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna hitam dengan corak coklat atau kuning.png
2026-06-29 10:03:21,982 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna hitam dengan corak coklat atau kuning.png
2026-06-29 10:03:21,998 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna coklat dengan hitam.png
2026-06-29 10:03:21,998 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna coklat dengan hitam.png
